Timestamp,CPU_Utilization,Memory_Usage_MB,Disk_IO_MBps,Network_In_Mbps,Network_Out_Mbps,Error_Rate_Percentage
2024-11-20 14:48:53.909263,62.42,2045.25,134.15,919.04,907.54,1.03
2024-11-20 14:49:53.909263,55.25,1260.26,112.13,897.51,69.89,3.4
2024-11-20 14:50:53.909263,40.04,3365.03,140.93,405.03,878.34,0.35
2024-11-20 14:51:53.909263,77.16,3982.57,133.72,798.89,912.61,1.69
2024-11-20 14:52:53.909263,73.21,2966.65,161.29,192.86,22.2,3.79
2024-11-20 14:53:53.909263,55.56,1659.05,20.84,683.98,214.45,0.4
2024-11-20 14:54:53.909263,46.01,3828.7,62.38,100.98,167.14,3.19
2024-11-20 14:55:53.909263,62.37,1781.53,93.71,342.78,298.43,4.79
2024-11-20 14:56:53.909263,41.81,1530.46,55.28,339.1,269.32,3.15
2024-11-20 14:57:53.909263,42.69,2797.57,13.81,297.78,432.85,1.22
2024-11-20 14:58:53.909263,61.58,1196.85,77.08,201.44,121.19,0.6
2024-11-20 14:59:53.909263,40.69,2034.36,74.82,333.41,265.53,3.11
2024-11-20 15:00:53.909263,32.92,2515.94,49.92,370.9,502.94,2.4
2024-11-20 15:01:53.909263,57.07,3884.15,121.89,966.72,560.52,3.98
2024-11-20 15:02:53.909263,57.12,1883.18,26.85,934.35,482.64,1.0
2024-11-20 15:03:53.909263,29.54,2325.69,190.1,248.88,773.05,0.76
2024-11-20 15:04:53.909263,29.24,3845.43,101.17,924.17,532.97,1.23
2024-11-20 15:05:53.909263,37.86,3676.23,115.12,89.85,251.06,5.0
2024-11-20 15:06:53.909263,48.07,2389.31,7.11,367.7,344.56,4.54
2024-11-20 15:07:53.909263,73.57,2597.77,94.46,832.29,305.19,1.27
2024-11-20 15:08:53.909263,50.46,2448.09,125.94,413.17,812.77,0.01
2024-11-20 15:09:53.909263,51.57,1722.07,119.95,274.71,231.51,1.37
2024-11-20 15:10:53.909263,71.93,1858.37,166.57,474.43,824.94,2.67
2024-11-20 15:11:53.909263,46.84,2027.66,116.35,876.08,142.8,3.46
2024-11-20 15:12:53.909263,37.43,3919.89,155.45,431.28,697.24,1.57
2024-11-20 15:13:53.909263,27.26,1826.27,113.64,337.42,918.36,0.91
2024-11-20 15:14:53.909263,25.82,1851.71,95.62,298.3,258.85,2.1
2024-11-20 15:15:53.909263,73.33,3197.77,98.71,339.62,14.87,1.23
2024-11-20 15:16:53.909263,42.41,1139.46,12.81,270.49,634.16,1.32
